Table Name,Column Name,Data Type,Constraints / Attributes,Description,Example Data
Employee,id,String,"Primary Key, Default: UUID",Unique identifier for the employee account,d4b8e3a2-7f12-4c8d-b9ea-b65f3fcd84c6
Employee,mobileNumber,String,"Unique, Required",Mobile number used as the login username,9876543210
Employee,passwordHash,String,Required,Bcrypt hash of the employee's password,$2a$10$X7jX8L2...
Employee,role,String,Required,Role of the user: ""ADMIN"" or ""TECHNICIAN"",ADMIN
Employee,fullName,String,Optional,Full name of the employee,John Doe
Employee,contactPhone,String,Optional,Contact telephone number of the employee,9111111111
Employee,employeeNumber,String,"Unique, Optional",Unique identifier/code assigned to the employee,E001
Employee,email,String,Optional,Email ID of the employee,john.doe@safeway.com
Employee,isActive,Boolean,Default: true,Whether the account is active and can log in,true
Employee,createdAt,DateTime,Default: now(),Timestamp when the employee account was created,2026-07-14T10:00:00Z
Employee,updatedAt,DateTime,Automatic update,Timestamp when the account was last modified,2026-07-14T10:45:00Z
Employee,deletedAt,DateTime,Optional,Soft-delete timestamp. If set the account is inactive.,null
Customer,id,String,"Primary Key, Default: UUID",Unique identifier for the customer,f9b5c3e4-8a12-4d8b-b9f1-a75d3fcd84c2
Customer,companyName,String,Optional,Name of the customer's company or business,KH Chemicals
Customer,contactName,String,Required,Primary contact person's full name,Karamad Begum
Customer,primaryPhone,String,Required,Primary phone number of the contact person,9840135355
Customer,secondaryPhone,String,Optional,Secondary / alternate contact number,9840135356
Customer,email,String,Optional,Email address of the customer,karamad@khchem.com
Customer,address,String,Optional,Physical / site address of the customer,"Tambaram, Chennai"
Customer,createdAt,DateTime,Default: now(),Timestamp when the customer record was created,2026-07-14T10:00:00Z
Customer,updatedAt,DateTime,Automatic update,Timestamp when the record was last modified,2026-07-14T10:45:00Z
Customer,deletedAt,DateTime,Optional,Soft-delete timestamp. If set the record is inactive.,null
Ticket,id,String,"Primary Key, Default: UUID",Unique identifier for the ticket,a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d
Ticket,ticketNumber,String,"Unique, Required",Auto-generated alphanumeric tracking code,EQ001
Ticket,customerId,String,"Optional, Foreign Key → Customer.id",ID of the associated customer,f9b5c3e4-8a12-4d8b-b9f1-a75d3fcd84c2
Ticket,currentStage,String,Required,Lifecycle stage: ""ENQUIRY"" | ""REFILLING"" | ""SERVICES"" | ""COMPLETED"",ENQUIRY
Ticket,currentStatus,String,Required,"Status within the stage (e.g. ""Order Confirmed"", ""Refilling Order Received"")",Order Confirmed
Ticket,itemDescription,String,Optional,Description of the fire extinguisher or equipment,ABC Fire Extinguisher 9kg
Ticket,serialNumber,String,Optional,Unique cylinder serial / tag number,CYL-99823
Ticket,capacity,String,Optional,"Cylinder gas capacity (e.g. ""2 Kg"", ""9 Kg"")",9 Kg
Ticket,extinguisherType,String,Optional,"Type of extinguisher (""CO2"" | ""DCP"" | ""Water"" | ""Foam"")",DCP
Ticket,requirementCategory,String,Optional,"Category of work (e.g. ""CCTV"", ""New Fire Extinguisher"", ""Refilling"")","New Fire Extinguisher"
Ticket,enquirySource,String,Optional,"Enquiry origin (""Existing Customers"" | ""Social Media"" | ""Walk-in"" etc.)","Social Media"
Ticket,requirementDetails,String,Optional,Detailed notes on what the customer requested,Refill 4 DCP cylinders
