Column,Type,Constraints / Attributes,Description,Example
id,String,"Primary Key, Default: UUID",Unique identifier for the account,d4b8e3a2-7f12-4c8d-b9ea-b65f3fcd84c6
mobileNumber,String,"Unique, Required",Mobile number used for logging in,9876543210
passwordHash,String,Required,Bcrypt hash of user's password,$2a$10$X7jX8L2...
role,String,Required,User role: ADMIN or TECHNICIAN,ADMIN
fullName,String,Optional,Full name of the employee,John Doe
contactPhone,String,Optional,Contact number of the employee,9111111111
employeeNumber,String,"Unique, Optional",Unique employee code,E001
email,String,Optional,Email ID of the employee,john.doe@safeway.com
isActive,Boolean,Default: true,Account active status,true
createdAt,DateTime,Default: now(),Timestamp of account creation,2026-07-14T10:00:00Z
updatedAt,DateTime,Automatic update,Timestamp of last update,2026-07-14T10:45:00Z
deletedAt,DateTime,Optional,Timestamp for soft deletion,null
